,region,MC.Hist,MC.Now,Species,Family,Status,Growth.form,Life.form,Life.Span,Clonality,Spinescence,Leaf.Periodicity.1.evergreen.2.deciduous.3.semi.evergreen,Dispersal.mode,Pollination.System,FOREST,WOODLAND,SCRUBLAND,DWARF.SCRUB,NATURAL.GRASSLAND,SEMI.NATURAL.GRASSLAND,COASTAL.DUNES,H2O.FRESH,H2O.SALINE,DESERT,RIPARIAN,ANTHROPOGNEIC,AGRICULTURAL,X,spp,losers,winners,incomers,winnters
salixinterior,1,0,1,Salix interior,Salicaceae,0,4,1,3,3,0,2,2,0,NA,NA,,NA,NA,NA,,NA,NA,NA,1,NA,,1,salixinterior,0,0,1,0
sassafrasalbidum,1,0,1,Sassafras albidum,Lauraceae,0,5,1,3,1,0,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,sassafrasalbidum,0,0,1,0
scutellariagalericulata,1,0,1,Scutellaria galericulata,Lamiaceae,0,1,4,3,3,0,2,"1,2",1,NA,NA,,NA,NA,NA,,1,NA,NA,NA,NA,,1,scutellariagalericulata,0,0,1,0
securigeravaria,1,0,1,Securigera varia,Fabaceae,1,1,4,3,3,0,                         ?,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,securigeravaria,0,0,1,0
sedumsarmentosum,1,0,1,Sedum sarmentosum,Crassulaceae,1,6,2,3,2,0,2,2,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,sedumsarmentosum,0,0,1,0
seneciovulgaris,1,0,1,Senecio vulgaris,Asteraceae,1,1,5,"            1,2",1,0,2,2,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,seneciovulgaris,0,0,1,0
setariafaberi,1,0,1,Setaria faberi,Poaceae,1,3,5,1,1,0,2,4,0,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,setariafaberi,0,0,1,0
silenevulgaris,1,0,1,Silene vulgaris,Caryophyllaceae,1,1,3,3,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,silenevulgaris,0,0,1,0
sisymbriumaltissimum,1,0,1,Sisymbrium altissimum,Brassicaceae,1,1,5,"            1,2",1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,sisymbriumaltissimum,0,0,1,0
smilaxrotundifolia,1,0,1,Smilax rotundifolia,Smilacaceae,0,8,1,3,1,1,2,3,1,NA,1,1,NA,NA,1,,NA,NA,NA,NA,NA,,3,smilaxrotundifolia,0,0,1,0
solanumcarolinense,1,0,1,Solanum carolinense,Solanaceae,1,1,4,3,3,1,2,3,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,solanumcarolinense,0,0,1,0
sonchusasper,1,0,1,Sonchus asper,Asteraceae,1,1,5,1,1,1,2,2,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,sonchusasper,0,0,1,0
sorghastrumnutans,1,0,1,Sorghastrum nutans,Poaceae,0,3,4,3,3,0,2,2,0,NA,NA,,NA,NA,1,,NA,NA,NA,NA,NA,,1,sorghastrumnutans,0,0,1,0
stachysbyzantina,1,0,1,Stachys byzantina,Lamiaceae,1,1,3,3,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,stachysbyzantina,0,0,1,0
symphyotrichumdrummondii,1,0,1,Symphyotrichum drummondii,Asteraceae,0,1,4,3,3,0,2,2,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,NA,,2,symphyotrichumdrummondii,0,0,1,0
symphyotrichumericoides,1,0,1,Symphyotrichum ericoides,Asteraceae,0,1,4,3,3,0,2,2,1,NA,1,,NA,NA,1,,NA,NA,NA,NA,NA,,2,symphyotrichumericoides,0,0,1,0
tragopogondubius,1,0,1,Tragopogon dubius,Asteraceae,1,1,3,3,1,0,2,2,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,tragopogondubius,0,0,1,0
tragopogonpratensis,1,0,1,Tragopogon pratensis,Asteraceae,1,1,3,2,1,0,2,2,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,tragopogonpratensis,0,0,1,0
trifoliumcampestre,1,0,1,Trifolium campestre,Fabaceae,1,1,5,1,1,0,2,3,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,trifoliumcampestre,0,0,1,0
trifoliumdubium,1,0,1,Trifolium dubium,Fabaceae,1,1,5,1,1,0,2,"1,4",1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,trifoliumdubium,0,0,1,0
trifoliumhybridum,1,0,1,Trifolium hybridum,Fabaceae,1,1,3,3,1,0,2,3,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,trifoliumhybridum,0,0,1,0
trifoliumrepens,1,0,1,Trifolium repens,Fabaceae,1,1,5,3,2,0,2,3,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,trifoliumrepens,0,0,1,0
trilliumerectum,1,0,1,Trillium erectum,Melanthiaceae,0,1,4,3,3,0,2,4,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,trilliumerectum,0,0,1,0
ulmuspumila,1,0,1,Ulmus pumila,Ulmaceae,1,5,1,3,1,0,2,2,0,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,1,,3,ulmuspumila,0,0,1,0
uvulariagrandiflora,1,0,1,Uvularia grandiflora,Colchicaceae,0,1,4,3,3,0,2,4,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,uvulariagrandiflora,0,0,1,0
valerianellaradiata,1,0,1,Valerianella radiata,Valerianaceae,0,1,5,"            1,2",1,0,2,1,1,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,,0,valerianellaradiata,0,0,1,0
verbenahastata,1,0,1,Verbena hastata,Verbenaceae,0,1,3,3,1,0,2,1,1,NA,NA,,NA,NA,1,,1,NA,NA,NA,NA,,2,verbenahastata,0,0,1,0
veronicapersica,1,0,1,Veronica persica,Plantaginaceae,1,1,5,1,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,veronicapersica,0,0,1,0
veronicapolita,1,0,1,Veronica polita,Plantaginaceae,1,1,5,1,1,0,2,1,1,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,veronicapolita,0,0,1,0
viburnumdentatum,1,0,1,Viburnum dentatum,Adoxaceae,1,4,1,3,1,0,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,viburnumdentatum,0,0,1,0
viburnumlantana,1,0,1,Viburnum lantana,Adoxaceae,1,4,1,3,1,0,2,3,1,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,1,,2,viburnumlantana,0,0,1,0
viburnumopulus,1,0,1,Viburnum opulus,Adoxaceae,0,4,1,3,1,0,2,3,1,1,1,,NA,NA,NA,,NA,NA,NA,NA,NA,,2,viburnumopulus,0,0,1,0
violasagittata,1,0,1,Viola sagittata,Violaceae,0,1,3,3,2,0,2,4,1,NA,1,,NA,NA,1,,1,NA,NA,NA,NA,,3,violasagittata,0,0,1,0
vitisaestivalis,1,0,1,Vitis aestivalis,Vitaceae,0,8,1,3,1,0,2,3,1,NA,1,1,NA,NA,NA,,NA,NA,NA,NA,1,,3,vitisaestivalis,0,0,1,0
zeamays,1,0,1,Zea mays,Poaceae,1,1,5,1,1,0,2,1,0,NA,NA,,NA,NA,1,,NA,NA,NA,NA,1,,2,zeamays,0,0,1,0
